"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","Main Page Tests","0","Main Page functionality","0","0","switch origin and destination","0"
"1","Main Page Tests","0","Main Page functionality","0","0","origin selection","0"
"1","Main Page Tests","0","Main Page functionality","0","0","order first class ticket","0"
"1","Main Page Tests","0","Main Page functionality","0","0","departure date selection","0"
"1","Currency and Region Tests","0","Currency and Region Change","0","0","Changing Currency","0"
"1","Currency and Region Tests","0","Currency and Region Change","0","0","Changing Region","0"
"1","Main Page Tests","0","Main Page functionality","0","0","departure and return dates selection","0"
"1","Main Page Tests","0","Main Page functionality","0","0","class ticket selection","0"
"0","Main Page Tests","1","Main Page functionality","0","0","trip ticket selection","0"
"1","Main Page Tests","0","Main Page functionality","0","0","cancel departure and return dates selection","0"
"1","Main Page Tests","0","Main Page functionality","0","0","","0"
"1","Main Page Tests","0","Main Page functionality","0","0","return date selection","0"
"1","Main Page Tests","0","Main Page functionality","0","0","Links Check","0"
"1","Main Page Tests","0","Main Page functionality","0","0","order economy ticket","0"
"1","Main Page Tests","0","Main Page functionality","0","0","order business class ticket","0"
"0","Main Page Tests","1","Main Page functionality","0","0","Cookie Management","0"
"0","Main Page Tests","1","Main Page functionality","0","0","passengers ticket selection","0"
"1","Main Page Tests","0","Main Page functionality","0","0","order premium ticket","0"
